,start_time,stop_time,wkt
0,2020-05-11T00:07:54Z,2020-05-11T00:11:25Z,POINT (140.1181 35.61)
1,2020-05-11T00:07:54Z,2020-05-11T00:11:25Z,POINT (139.2394 36.5748)
2,2020-05-11T00:07:54Z,2020-05-11T00:11:25Z,POINT (140.4703 36.287)
3,2020-05-11T00:07:54Z,2020-05-11T00:11:25Z,POINT (139.9887 35.7)
4,2020-05-13T23:28:45Z,2020-05-13T23:30:19Z,POINT (139.2394 36.5748)
5,2020-05-18T03:13:10Z,2020-05-18T03:15:03Z,POINT (139.2394 36.5748)
6,2020-05-18T03:13:10Z,2020-05-18T03:15:03Z,POINT (139.8357 37.49)
7,2020-05-18T03:13:10Z,2020-05-18T03:15:03Z,POINT (139.7595 35.6828)
8,2020-05-19T03:26:56Z,2020-05-19T03:28:18Z,POINT (139.2394 36.5748)
9,2020-05-19T03:26:56Z,2020-05-19T03:28:18Z,POINT (140.8691 38.2678)
10,2020-05-19T03:26:56Z,2020-05-19T03:28:18Z,POINT (140.4592 37.7545)
11,2020-05-19T05:38:11Z,2020-05-19T05:39:44Z,POINT (139.2394 36.5748)
12,2020-05-20T07:54:32Z,2020-05-20T08:09:10Z,POINT (139.2394 36.5748)
13,2020-05-20T07:54:32Z,2020-05-20T08:09:10Z,POINT (135.3353 34.7519)
14,2020-05-26T06:09:05Z,2020-05-26T06:12:05Z,POINT (139.8357 37.49)
